agent_name,proposed_kind,proposed_owner_domain,source,reason
AdmissionsAssistantAgent,behavior,Admissions & Applicant Experience,registry,cron */10 * * * * wired at wrapper runAdmissionsAssistant<-backend/src/services/aiOpsScheduler.ts:218 (backend/src/services/agentRegistrySeed.ts:1004); domain: category=admissions_ops
AdmissionsCallComplianceMonitor,behavior,Admissions & Applicant Experience,registry,cron */15 * * * * wired at wrapper runAdmissionsCallCompliance<-backend/src/services/aiOpsScheduler.ts:215 (backend/src/services/agentRegistrySeed.ts:974); domain: category=admissions_ops
AdmissionsCallbackManagementAgent,behavior,Admissions & Applicant Experience,registry,cron */5 * * * * wired at wrapper runAdmissionsCallback<-backend/src/services/aiOpsScheduler.ts:216 (backend/src/services/agentRegistrySeed.ts:984); domain: category=admissions_ops
AdmissionsConversationContinuityAgent,behavior,Admissions & Applicant Experience,registry,cron */5 * * * * wired at wrapper runAdmissionsConversationContinuity<-backend/src/services/aiOpsScheduler.ts:211 (backend/src/services/agentRegistrySeed.ts:862); domain: category=admissions
AdmissionsConversationMemoryAgent,behavior,Admissions & Applicant Experience,registry,cron */30 * * * * wired at wrapper runAdmissionsConversationMemory<-backend/src/services/aiOpsScheduler.ts:208 (backend/src/services/agentRegistrySeed.ts:802); domain: category=admissions
AdmissionsConversationTaskMonitor,behavior,Admissions & Applicant Experience,registry,cron */2 * * * * wired at backend/src/services/aiOpsScheduler.ts:217 (backend/src/services/agentRegistrySeed.ts:994); domain: category=admissions_ops
AdmissionsConversionArchitect,behavior,Admissions & Applicant Experience,registry,cron 20 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:298 (backend/src/services/agentRegistrySeed.ts:1911); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
AdmissionsExecutiveUpdateAgent,behavior,Admissions & Applicant Experience,registry,cron 0 */4 * * * wired at wrapper runAdmissionsExecutiveUpdate<-backend/src/services/aiOpsScheduler.ts:214 (backend/src/services/agentRegistrySeed.ts:902); domain: category=admissions
AdmissionsHighIntentLeadAgent,behavior,Admissions & Applicant Experience,registry,cron */10 * * * * wired at wrapper runAdmissionsHighIntentLead<-backend/src/services/aiOpsScheduler.ts:212 (backend/src/services/agentRegistrySeed.ts:872); domain: category=admissions
AdmissionsInsightsAgent,behavior,Admissions & Applicant Experience,registry,cron */30 * * * * wired at wrapper runAdmissionsInsights<-backend/src/services/aiOpsScheduler.ts:213 (backend/src/services/agentRegistrySeed.ts:892); domain: category=admissions
AdmissionsIntentDetectionAgent,behavior,Admissions & Applicant Experience,registry,cron */10 * * * * wired at wrapper runAdmissionsIntentDetection<-backend/src/services/aiOpsScheduler.ts:209 (backend/src/services/agentRegistrySeed.ts:812); domain: category=admissions
AdmissionsKnowledgeSyncAgent,behavior,Admissions & Applicant Experience,registry,cron 0 3 * * * wired at backend/src/services/aiOpsScheduler.ts:316 (backend/src/services/agentRegistrySeed.ts:2081); domain: category=admissions
AdmissionsProactiveOutreachAgent,behavior,Admissions & Applicant Experience,registry,cron */5 * * * * wired at wrapper runAdmissionsProactiveOutreach<-backend/src/services/aiOpsScheduler.ts:210 (backend/src/services/agentRegistrySeed.ts:842); domain: category=admissions
AdmissionsSuperAgent,behavior,Admissions & Applicant Experience,registry,"cron 13,43 * * * * wired at backend/src/services/aiOpsScheduler.ts:330 (backend/src/services/agentRegistrySeed.ts:2143); domain: category=dept_super"
AdmissionsVisitorActivityAgent,behavior,Admissions & Applicant Experience,registry,cron */10 * * * * wired at wrapper runAdmissionsVisitorActivity<-backend/src/services/aiOpsScheduler.ts:207 (backend/src/services/agentRegistrySeed.ts:792); domain: category=admissions
AdmissionsAppointmentSchedulingAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsAppointment has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:944); domain: category=admissions_ops
AdmissionsCEORecognitionAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsCEORecognition has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:882); domain: category=admissions
AdmissionsCallGovernanceAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsCallGovernance has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:964); domain: category=admissions_ops
AdmissionsConversationPlanningAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsConversationPlanning has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:822); domain: category=admissions
AdmissionsDocumentDeliveryAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsDocumentDelivery has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:914); domain: category=admissions_ops
AdmissionsEmailAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsEmail has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:924); domain: category=admissions_ops
AdmissionsKnowledgeAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsKnowledge has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:832); domain: category=admissions
AdmissionsPageContextAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsPageContext has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:852); domain: category=admissions
AdmissionsReportingAgent,retire,Admissions & Applicant Experience,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1674); domain: category=reporting"
AdmissionsSMSAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsSMS has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:934); domain: category=admissions_ops
AdmissionsSynthflowCallAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsSynthflowCall has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:954); domain: category=admissions_ops
AdmissionsVisitorIdentityAgent,retire,Admissions & Applicant Experience,registry,aiOrchestrator.ts wrapper runAdmissionsVisitorIdentity has zero callers outside aiOrchestrator*.ts (reachability.js callersOf); backend/src/services/agentRegistryAuditClassification.ts admissions_on_demand_unwired (backend/src/services/agentRegistrySeed.ts:782); domain: category=admissions
Enterprise_Opportunity_Agent,retire,Admissions & Applicant Experience,registry,source_file backend/src/services/agents/admissions/enterpriseOpportunityAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1193); domain: category=admissions
LearningInnovationArchitect,behavior,"Curriculum, Learning & Certification",registry,cron 26 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:301 (backend/src/services/agentRegistrySeed.ts:1947); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: name/category=curriculum
WorkforceCertificationDirector,behavior,"Curriculum, Learning & Certification",registry,cron 30 6 * * * wired at backend/src/services/aiOpsScheduler.ts:344 (backend/src/services/agentRegistrySeed.ts:2235); domain: name/category=curriculum
WorkforceCurriculumDirector,behavior,"Curriculum, Learning & Certification",registry,cron 10 6 * * * wired at backend/src/services/aiOpsScheduler.ts:342 (backend/src/services/agentRegistrySeed.ts:2213); domain: name/category=curriculum
